Category,Department,Keywords,Severity
Fraud,Head of Financial Crimes Unit,"inheritance scam, mail fraud, suspicious call, advance fee fraud, phone scam, credit card skimming",Medium
Theft,Directorate of Police,"bike theft, car gone, missing, steal",Low
Assault,Commissioner of Law Enforcement,"assault with weapon, hit, brawl",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber terrorism, fake website, social media scam, cyber threat, account compromised, botnet attack",Critical
Drug-Related Offenses,Chief of Narcotics Control,"crack house, drug activity, drug addiction, sketchy behavior, drug related",Low
Fraud,Head of Financial Crimes Unit,"identity fraud, credit card skimming, embezzlement, romance scam, fake currency",Critical
Fraud,Head of Financial Crimes Unit,"internet fraud, mortgage fraud, wire fraud, social security fraud, fake email",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug sale, lots of traffic, suspicious transactions, marijuana",Critical
Fraud,Head of Financial Crimes Unit,"credit fraud, took my money, suspicious charge, internet fraud",High
Assault,Commissioner of Law Enforcement,"street fight, acting aggressive, road rage incident, coming after me, domestic violence, bar fight",High
Assault,Commissioner of Law Enforcement,"hit, getting violent, physical altercation, got jumped, physical threat, gang violence",Medium
Cybercrime,Head of Cyber Crime Bureau,"strange messages, data leak, weird emails, cyber attack",Medium
Assault,Commissioner of Law Enforcement,"pushed me around, beat me up, aggravated assault, aggressive behavior, started swinging, physical altercation",Medium
Cybercrime,Head of Cyber Crime Bureau,"email compromise, digital theft, hacking incident, cyberstalking",Low
Fraud,Head of Financial Crimes Unit,"fraud, money transfer scam, real estate fraud, tech support scam",Low
Assault,Commissioner of Law Enforcement,"knocked me down, came at me, physical harassment, threw punches",Low
Fraud,Head of Financial Crimes Unit,"advance fee fraud, fake website, corporate fraud, pyramid scheme, pretending to be",Low
Assault,Commissioner of Law Enforcement,"got beaten, brutal attack, fight",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug manufacturing, drug meetup, weird smell, sketchy behavior, drug smuggling",High
Fraud,Head of Financial Crimes Unit,"identity theft, strange transaction, fraudulent documents, gift card scam, fake website, welfare fraud",Critical
Fraud,Head of Financial Crimes Unit,"tech support scam, embezzlement, internet fraud, fake check, took my money, gift card scam",Critical
Assault,Commissioner of Law Enforcement,"street fight, getting violent, bodily harm, ganged up on, violent attack, fight",Medium
Cybercrime,Head of Cyber Crime Bureau,"identity stolen online, spam emails, computer infected, online impersonation, credential theft",Low
Fraud,Head of Financial Crimes Unit,"tax fraud, mortgage fraud, social security fraud, check fraud, took my money, lottery scam",Low
Cybercrime,Head of Cyber Crime Bureau,"trojan horse, strange messages, internet scam, cyber attack",High
Theft,Directorate of Police,"took my stuff, commercial burglary, larceny, grand theft, missing, cleaned out my",Critical
Theft,Directorate of Police,"grand theft, taken from my car, theft, retail theft, grabbed my",Medium
Theft,Directorate of Police,"snatched, stolen property, property theft, went missing from",Low
Cybercrime,Head of Cyber Crime Bureau,"identity stolen online, online threats, ransomware",High
Cybercrime,Head of Cyber Crime Bureau,"malware, digital theft, cyber bullying, password stolen",Low
Assault,Commissioner of Law Enforcement,"fight, threatening, school violence, workplace violence, got attacked, assault with weapon",High
Fraud,Head of Financial Crimes Unit,"social security fraud, corporate fraud, healthcare fraud, strange transaction",Medium
Theft,Directorate of Police,"disappeared with, copper wire theft, snatched, taken from my car",High
Assault,Commissioner of Law Enforcement,"street fight, physical altercation, violent behavior",High
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, tech support scam, strange messages, online threats, social media hack, email compromise",Low
Fraud,Head of Financial Crimes Unit,"payment fraud, suspicious charge, pyramid scheme, fake job offer",Critical
Assault,Commissioner of Law Enforcement,"came at me, physical injury, getting threatening, threatening",Low
Assault,Commissioner of Law Enforcement,"got attacked, armed assault, aggravated assault, weapon assault, physical abuse",High
Assault,Commissioner of Law Enforcement,"group assault, unprovoked attack, ganged up on",High
Theft,Directorate of Police,"pickpocket, car gone, jewelry theft, stolen package",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug house, drug activity, drug overdose, dealing drugs",Critical
Fraud,Head of Financial Crimes Unit,"gift card scam, insurance fraud, real estate fraud",High
Theft,Directorate of Police,"lifted my wallet, missing from my porch, looted",Medium
Cybercrime,Head of Cyber Crime Bureau,"pop-up scam, cyberstalking, online harassment",High
Cybercrime,Head of Cyber Crime Bureau,"social engineering, data theft, hacking incident, online scam, cyber extortion",Medium
Theft,Directorate of Police,"grand theft, stealing, someone took my",Low
Assault,Commissioner of Law Enforcement,"threw punches, aggravated assault, workplace violence",Critical
Theft,Directorate of Police,"catalytic converter theft, porch pirate, missing from my porch",High
Fraud,Head of Financial Crimes Unit,"mail fraud, money disappeared, social security fraud",Low
Fraud,Head of Financial Crimes Unit,"gift card scam, money transfer scam, suspicious charge, medicare fraud, insurance scam, fake email",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber harassment, suspicious login, cyberstalking, online harassment, internet scam, webcam hacked",Critical
Fraud,Head of Financial Crimes Unit,"false promises, inheritance scam, money laundering, fraud, insurance fraud, phone scam",High
Assault,Commissioner of Law Enforcement,"aggravated assault, punch, got into a fight, road rage incident, getting violent, started swinging",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug enforcement, marijuana, drug cultivation",Critical
Drug-Related Offenses,Chief of Narcotics Control,"dealing drugs, sketchy behavior, late night activity, drug paraphernalia",Medium
Theft,Directorate of Police,"disappeared with, made off with, retail theft, stolen package, pickpocket",Critical
Assault,Commissioner of Law Enforcement,"getting threatening, physical abuse, violent outburst",Low
Theft,Directorate of Police,"laptop stolen, cleaned out my, larceny, residential burglary",Low
Cybercrime,Head of Cyber Crime Bureau,"online stalking, phone hacked, bitcoin scam",Low
Drug-Related Offenses,Chief of Narcotics Control,"dealing drugs, controlled substances, crack cocaine, drug paraphernalia, heroin",Critical
Fraud,Head of Financial Crimes Unit,"payment fraud, fake website, suspicious call, bank fraud, fake investment",Medium
Assault,Commissioner of Law Enforcement,"threw punches, domestic violence, roughed up, attack",Low
Fraud,Head of Financial Crimes Unit,"fake investment, unauthorized purchase, real estate fraud, ponzi scheme, medicare fraud",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug house, marijuana, illegal substances, narcotic sales, crack house",Critical
Fraud,Head of Financial Crimes Unit,"inheritance scam, embezzlement, money laundering, mortgage fraud",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug overdose, controlled substances, drug exchanges, opioids, drug distribution, suspicious visitors",High
Drug-Related Offenses,Chief of Narcotics Control,"prescription drugs, drug drops, designer drugs, narcotics",High
Theft,Directorate of Police,"porch pirate, looted, vehicle break-in, items missing",Low
Theft,Directorate of Police,"theft from vehicle, pinched my, purse snatching, copper wire theft, package theft, stealing",Critical
Fraud,Head of Financial Crimes Unit,"insurance fraud, medicare fraud, bank scam, wire fraud, card got charged, tech support scam",Critical
Assault,Commissioner of Law Enforcement,"hit, physical altercation, ganged up on, threatened to hurt, trying to fight",Critical
Assault,Commissioner of Law Enforcement,"physical abuse, acting aggressive, got attacked, attack, attacked me",Critical
Drug-Related Offenses,Chief of Narcotics Control,"dealing drugs, suspicious packages, psychedelic drugs",Medium
Drug-Related Offenses,Chief of Narcotics Control,"crack cocaine, drug ring, methamphetamine",Critical
Fraud,Head of Financial Crimes Unit,"welfare fraud, healthcare fraud, wire fraud, money transfer scam, medicare fraud, fake email",Low
